Block Name,Point ID,alphat,CH4,CO2,G,H2O,k,N2,nut,O2,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,Qdot,qin,qr,reactingCloud1:hsCoeff,reactingCloud1:hsTrans,reactingCloud1:rhokTrans,reactingCloud1:rhoTrans_CH4,reactingCloud1:rhoTrans_CO2,reactingCloud1:rhoTrans_H2O,reactingCloud1:rhoTrans_N2,reactingCloud1:rhoTrans_O2,reactingCloud1:UCoeff,reactingCloud1:UTrans_0,reactingCloud1:UTrans_1,reactingCloud1:UTrans_2,reactingCloud1:UTrans_Magnitude,rho,T,U_0,U_1,U_2,U_Magnitude
internalMesh,0,0.00133649,0,0,1837.21,0,9.95815e-05,0.76699,0.00114011,0.23301,101355,18.8766,0,0,11.97,11.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17225,300.015,0,0,0,0
internalMesh,1,0.00133657,0,0,1837.21,0,9.95939e-05,0.76699,0.00114018,0.23301,101355,18.8456,3,0,11.97,12.3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17226,300.015,0,0,0,0
internalMesh,2,0.00133682,0,0,1837.21,0,9.9631e-05,0.76699,0.00114039,0.23301,101355,18.7528,6,0,11.97,13.3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17226,300.015,0,0,0,0
internalMesh,3,0.00133723,0,0,1837.21,0,9.96925e-05,0.76699,0.00114074,0.23301,101355,18.5988,9,0,11.97,14.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17226,300.015,0,0,0,0
internalMesh,4,0.0013378,0,0,1837.21,0,9.97776e-05,0.76699,0.00114123,0.23301,101355,18.3844,12,0,11.97,16.9494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17226,300.015,0,0,0,0
internalMesh,5,0.00133851,0,0,1837.21,0,9.98855e-05,0.76699,0.00114185,0.23301,101355,18.1108,15,0,11.97,19.1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17225,300.015,0,0,0,0
internalMesh,6,0.00133938,0,0,1837.21,0,0.000100015,0.76699,0.00114258,0.23301,101354,17.7797,18,0,11.97,21.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17225,300.015,0,0,0,0
internalMesh,7,0.00134037,0,0,1837.21,0,0.000100164,0.76699,0.00114344,0.23301,101354,17.3932,21,0,11.97,24.1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17225,300.015,0,0,0,0
internalMesh,8,0.00134149,0,0,1837.21,0,0.000100332,0.76699,0.0011444,0.23301,101353,16.9538,24,0,11.97,26.8194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17224,300.015,0,0,0,0
internalMesh,9,0.00134271,0,0,1837.21,0,0.000100517,0.76699,0.00114545,0.23301,101353,16.4644,27,0,11.97,29.5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17224,300.015,0,0,0,0
internalMesh,10,0.00134404,0,0,1837.21,0,0.000100716,0.76699,0.00114658,0.23301,101352,15.9286,30,0,11.97,32.2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17223,300.015,0,0,0,0
internalMesh,11,0.00134544,0,0,1837.21,0,0.000100927,0.76699,0.00114778,0.23301,101352,15.3505,33,0,11.97,35.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17222,300.015,0,0,0,0
internalMesh,12,0.0013469,0,0,1837.21,0,0.000101148,0.76699,0.00114904,0.23301,101351,14.7347,36,0,11.97,37.9379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17222,300.015,0,0,0,0
